cohort_id,technology,scod_year,capacity_mw,source_id,qa_status,note
FIT2024_ADDITIONAL,Solar,2026,279.0,S14,pass,
FIT2024_ADDITIONAL,Total,2026,279.0,S14,pass,
FIT2024_ADDITIONAL,Wind,2026,0.0,S14,pass,
FIT2024_ADDITIONAL,Solar,2027,154.4,S14,pass,
FIT2024_ADDITIONAL,Total,2027,155.4,S14,warn,Official total is 155.40 MW while technology rows sum to 154.40 MW; retain source value and flag.
FIT2024_ADDITIONAL,Wind,2027,0.0,S14,pass,
FIT2024_ADDITIONAL,Solar,2028,615.93,S14,pass,
FIT2024_ADDITIONAL,Total,2028,747.53,S14,pass,
FIT2024_ADDITIONAL,Wind,2028,131.6,S14,pass,
FIT2024_ADDITIONAL,Solar,2029,194.87,S14,pass,
FIT2024_ADDITIONAL,Total,2029,464.27,S14,pass,
FIT2024_ADDITIONAL,Wind,2029,269.4,S14,pass,
FIT2024_ADDITIONAL,Solar,2030,339.1,S14,pass,
FIT2024_ADDITIONAL,Total,2030,503.5,S14,pass,
FIT2024_ADDITIONAL,Wind,2030,164.4,S14,pass,
