snapshot_id,as_of_date,scope,status_stage,technology,project_count,capacity_mw,capacity_basis,source_id,source_url,publication_date,qa_status,note
ERC-2025-06-30-SELFUSE-TECH-BIOGAS,2025-06-30,self_use_direct,OPERATING_OR_INSTALLED,Biogas,61,168.91,installed_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Installed capacity for self-use/direct-customer projects.
ERC-2025-06-30-SELFUSE-TECH-BIOMASS,2025-06-30,self_use_direct,OPERATING_OR_INSTALLED,Biomass,50,1071.04,installed_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Installed capacity for self-use/direct-customer projects.
ERC-2025-06-30-SELFUSE-TECH-HYDRO,2025-06-30,self_use_direct,OPERATING_OR_INSTALLED,Hydro,2,0.51,installed_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Installed capacity for self-use/direct-customer projects.
ERC-2025-06-30-SELFUSE-TECH-OTHER_RENEWABLE,2025-06-30,self_use_direct,OPERATING_OR_INSTALLED,Other renewable,17,271.55,installed_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Installed capacity for self-use/direct-customer projects.
ERC-2025-06-30-SELFUSE-TECH-SOLAR,2025-06-30,self_use_direct,OPERATING_OR_INSTALLED,Solar,37092,4466.89,installed_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Installed capacity for self-use/direct-customer projects.
ERC-2025-06-30-SELFUSE-TOTAL,2025-06-30,self_use_direct,OPERATING_OR_INSTALLED,Total,37222,5978.9,installed_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Self-use/direct-customer renewable capacity; separate installed-MW basis.
ERC-2025-06-30-UTILITY-ACCEPTED_PRE_PPA,2025-06-30,utility_sold,ACCEPTED_PRE_PPA,Total,1327,1246.02,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,ERC utility-sold renewable portfolio; stages are mutually exclusive except ALL_STATUSES is their total.
ERC-2025-06-30-UTILITY-TECH-BIOGAS,2025-06-30,utility_sold,ALL_STATUSES,Biogas,233,608.08,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Technology mix across COD + signed PPA not COD + accepted pre-PPA; not a COD-only technology mix.
ERC-2025-06-30-UTILITY-TECH-BIOMASS,2025-06-30,utility_sold,ALL_STATUSES,Biomass,279,4301.53,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Technology mix across COD + signed PPA not COD + accepted pre-PPA; not a COD-only technology mix.
ERC-2025-06-30-UTILITY-TECH-HYDRO,2025-06-30,utility_sold,ALL_STATUSES,Hydro,85,175.44,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Technology mix across COD + signed PPA not COD + accepted pre-PPA; not a COD-only technology mix.
ERC-2025-06-30-UTILITY-TECH-OTHER_RENEWABLE,2025-06-30,utility_sold,ALL_STATUSES,Other renewable,5,94.89,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Technology mix across COD + signed PPA not COD + accepted pre-PPA; not a COD-only technology mix.
ERC-2025-06-30-UTILITY-TECH-SOLAR,2025-06-30,utility_sold,ALL_STATUSES,Solar,22030,8287.51,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Technology mix across COD + signed PPA not COD + accepted pre-PPA; not a COD-only technology mix.
ERC-2025-06-30-UTILITY-ALL_STATUSES,2025-06-30,utility_sold,ALL_STATUSES,Total,22785,17375.38,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,ERC utility-sold renewable portfolio; stages are mutually exclusive except ALL_STATUSES is their total.
ERC-2025-06-30-UTILITY-TECH-WASTE,2025-06-30,utility_sold,ALL_STATUSES,Waste,88,809.84,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Technology mix across COD + signed PPA not COD + accepted pre-PPA; not a COD-only technology mix.
ERC-2025-06-30-UTILITY-TECH-WIND,2025-06-30,utility_sold,ALL_STATUSES,Wind,65,3098.09,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,Technology mix across COD + signed PPA not COD + accepted pre-PPA; not a COD-only technology mix.
ERC-2025-06-30-UTILITY-COD,2025-06-30,utility_sold,COD,Total,20804,10297.8,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,ERC utility-sold renewable portfolio; stages are mutually exclusive except ALL_STATUSES is their total.
ERC-2025-06-30-UTILITY-PPA_NOT_COD,2025-06-30,utility_sold,PPA_NOT_COD,Total,654,5831.56,contracted_sale_mw,S13,https://www.erc.or.th/th/annual-report/download?did=3801,2026-01-01,pass,ERC utility-sold renewable portfolio; stages are mutually exclusive except ALL_STATUSES is their total.
