source_id,last_success_at,last_item_date,last_item_url,last_hash,consecutive_failures,last_error
S09,2026-09-09T07:41:20Z,,,91355ceb30c40e62e68957c25333ea9a1964e0508e6edab43a2f4f26891b9353,0,
S16,2026-09-09T07:42:07Z,2026-09-07,https://investor.gulf.co.th/en/document/viewer/203067/notification-of-the-commercial-operation-commencement-of-two-solar-power-projects,18e0ae319aaf6db107f75402f4cc4071123436993500c51df2c0a0875f870108,0,
S18,2026-09-09T07:41:58Z,,,3600fb75e2dd86290f31764dccedf9c2d8867d65a36d994e23ccae7a8e8c5086,0,
S19,2026-09-09T07:42:01Z,,,1249cb415f8b9d49fa825524153584a7df33aeb0359404d2ea176de689f52c67,0,
S20,2026-09-09T07:42:14Z,2026-09-01,javascript:;,0924faee0a3d46c9481732563d737b7dc64996371cf38ef0a278b29950c9c0ee,0,
S21,2026-09-09T07:42:16Z,,,2b26ed03faa74ff9580d7212d89e5f88f48c37c202e43948bf00981aacc87b95,0,
S22,2026-09-09T07:42:19Z,,,1ab443b32ecbd9e6cf296eb17c2dbda7d57124e0e80d80b1ad0dd6f0b436859d,0,
S23,2026-09-09T07:42:23Z,,,54e79cc3e9739e5ad4403f1f675253c08b7904187798b0adc97914706de414b1,0,
S24,2026-09-09T07:42:25Z,,,79aa0b511c60b5208a2a55ed23f6c405d4becad3ad7c2497fb407ec95bb1b346,0,
S26,2026-09-09T07:41:48Z,2026-07-15,https://www.erc.or.th/th/listen-to-opinions/602,3670645159e58aab138d89415b8755cbd4c5a3879bf11b125a82f77971b16173,0,
